racking,First-name,Name,Nationality,Position,age,tall(m),weight,start_career,club,Tournament,club-match,club_W,club_D,club_L,club_starter,club_try,club_points,club_Min,other club tournament  ,other-match,other_W,other_D,other_L,other_starter,other_try,other_points,other_Min,National_match,National_W,National_D,National_L,National_starter,National_try,National_Points,National_min,yellow card,red card
1,Antoine,Dupont,France,Scrumhalf,27,1.74,86,2000,Toulouse,Top 14,14,11,0,3,9,6,30,866,champions cup,8,8,0,0,8,5,25,627,2,2,0,0,2,0,0,127,0,0
2,Ardie,Savea,New Zealand,Backrow,30,1.9,103,2013,Wellington Hurricanes,None,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,13,9,0,4,13,6,30,918,1,0
3,Pieter-Steph,Du Toit,South Africa,Backrow,32,2,116,2013,Toyota Verblitz,Japan rugby leage,35,7,0,4,,2,10,,,,,,,,,,,12,10,0,2,12,3,15,856,1,0
4,Caelen,Doris,Ireland,Backrow,26,193,106,2017,Leinster,United Rugby Championship,7,5,0,2,6,1,5,382,champions cup,8,7,0,1,8,3,15,618,15,12,0,2,12,3,15,1069,1,0
5,Eben,Etzebeth,South Africa,Secondrow,32,2.03,126,2013,sharks,United Rugby Championship,7,4,0,3,7,1,5,383,Challenge Cup,6,5,0,1,5,1,5,324,12,10,0,2,11,1,5,603,2,0
6,Dan,Sheehan,Ireland,Hooker,25,1.91,110,2021, Leinster Rugby,United Rugby Championship,10,8,0,2,5,5,25,401,Challenge Cup,8,7,0,1,8,3,15,457,10,7,0,3,9,6,30,502,0,0
7,Damian,Penaud,France,Winger,27,1.88,97,2016,Bordeaux,Top 14,16,11,0,5,15,14,70,1133,champions cup,4,4,0,0,4,4,20,320,11,8,1,2,11,10,50,400,0,0
8,Will,Jordan,New Zealand,Utility Back,26,1.88,94,,Crusaders,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,4,9,10,50,633,1,0
9,Cheslin,Kolbe,South Africa,Winger,30,1.71,76,2013,none,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,2,10,3,15,712,1,0
10,Hugo,Keenan,Ireland,Fullback ,28,1.85,92,2016,Leinster Rugby,United Rugby Championship,4,3,0,1,4,0,0,320,Champions Cup,6,5,0,1,6,0,0,482,8,7,0,2,9,3,15,695,1,0
